dayType,month,T,Po,P,Pa,U,Ff,load
1,1,1.1,755.6,764.7,0.7,94.0,3.0,19125
1,1,1.1,755.8,764.8,0.7,95.0,3.0,18912
1,1,1.1,756.0,765.1,0.5,95.0,3.0,18592
1,1,0.9,756.1,765.2,0.5,96.0,3.0,18536
1,1,1.2,756.4,765.5,0.6,96.0,3.0,18810
1,1,1.1,756.6,765.7,0.6,96.0,3.0,19034
1,1,1.1,756.7,765.7,0.6,96.0,3.0,19406
1,1,1.3,756.8,765.9,0.4,96.0,3.0,19958
1,1,1.5,757.2,766.3,0.6,95.0,2.0,20376
1,1,1.6,757.6,766.6,0.9,96.0,3.0,20984
1,1,1.7,757.9,767.0,1.1,96.0,2.0,21367
1,1,1.6,758.3,767.4,1.1,97.0,3.0,21649
1,1,2.0,758.6,767.7,1.0,96.0,3.0,21808
1,1,2.2,758.8,767.9,0.9,96.0,2.0,22168
1,1,2.0,759.1,768.2,0.8,96.0,3.0,22690
1,1,2.4,759.4,768.5,0.8,93.0,3.0,23018
1,1,2.3,759.7,768.7,0.9,94.0,3.0,22824
1,1,2.3,760.3,769.3,1.2,93.0,3.0,22625
1,1,2.3,760.6,769.6,1.2,91.0,3.0,22113
1,1,2.2,761.2,770.2,1.5,92.0,3.0,21793
1,1,1.7,761.5,770.5,1.2,94.0,3.0,21429
1,1,1.4,761.8,770.9,1.2,94.0,3.0,20805
1,1,1.1,762.4,771.6,1.2,95.0,3.0,20338
1,1,1.6,762.9,772.0,1.4,94.0,3.0,19888
2,1,1.5,763.4,772.6,1.6,94.0,3.0,19449
2,1,1.4,763.6,772.7,1.2,92.0,3.0,19039
2,1,1.3,764.0,773.2,1.1,90.0,4.0,18904
2,1,1.1,764.4,773.5,1.0,91.0,3.0,18985
2,1,1.0,764.8,773.9,1.2,89.0,4.0,19242
2,1,1.1,765.0,774.1,1.0,86.0,3.0,19731
2,1,1.0,765.1,774.3,0.7,82.0,3.0,20397
2,1,0.5,765.3,774.4,0.5,82.0,4.0,21290
2,1,-0.9,765.9,775.1,0.9,88.0,6.0,22149
2,1,-1.6,766.5,775.8,1.4,82.0,6.0,22970
2,1,-2.0,767.0,776.3,1.7,81.0,5.0,23487
2,1,-2.6,767.3,776.6,1.4,83.0,5.0,23649
2,1,-2.8,767.6,776.9,1.1,78.0,4.0,23521
2,1,-2.8,767.5,776.8,0.5,75.0,5.0,23769
2,1,-3.0,767.8,777.1,0.5,73.0,4.0,24090
2,1,-3.4,768.0,777.4,0.4,76.0,4.0,24440
2,1,-3.4,767.9,777.3,0.4,78.0,3.0,24838
2,1,-3.5,767.9,777.3,0.1,78.0,4.0,24792
2,1,-3.7,767.8,777.2,-0.2,77.0,5.0,24434
2,1,-4.1,767.9,777.3,0.0,77.0,4.0,23960
2,1,-4.5,767.8,777.2,-0.1,79.0,4.0,23469
2,1,-4.8,767.8,777.1,0.0,80.0,5.0,22955
2,1,-5.0,767.8,777.2,-0.1,75.0,5.0,22505
2,1,-5.3,767.8,777.2,0.0,78.0,4.0,21977
3,1,-5.4,767.7,777.1,-0.1,78.0,4.0,21655
3,1,-5.5,767.3,776.8,-0.5,80.0,4.0,21443
3,1,-5.6,767.2,776.6,-0.6,82.0,4.0,21305
3,1,-5.6,766.6,775.9,-1.1,82.0,4.0,21223
3,1,-5.7,766.0,775.4,-1.3,81.0,4.0,21403
3,1,-5.7,765.5,774.9,-1.7,82.0,4.0,21670
3,1,-5.7,764.9,774.3,-1.7,82.0,5.0,22125
3,1,-5.7,764.5,773.9,-1.5,82.0,4.0,22781
3,1,-5.8,764.1,773.5,-1.4,82.0,4.0,23527
3,1,-5.8,763.5,772.9,-1.4,82.0,3.0,24302
3,1,-5.7,763.2,772.6,-1.3,82.0,4.0,24465
3,1,-5.7,762.4,771.7,-1.7,82.0,4.0,24516
3,1,-5.5,761.5,770.9,-2.0,82.0,3.0,24674
3,1,-5.5,760.9,770.2,-2.3,82.0,3.0,24695
3,1,-5.5,760.1,769.4,-2.3,80.0,3.0,25325
3,1,-5.7,759.3,768.6,-2.2,82.0,3.0,25823
3,1,-6.0,758.5,767.8,-2.4,81.0,3.0,26019
3,1,-6.1,757.9,767.2,-2.2,81.0,2.0,25764
3,1,-6.2,757.2,766.5,-2.1,81.0,3.0,25455
3,1,-6.3,756.7,766.0,-1.8,81.0,2.0,25138
3,1,-6.4,756.1,765.4,-1.8,80.0,4.0,24787
3,1,-6.5,755.4,764.7,-1.8,81.0,3.0,24192
3,1,-6.9,754.8,764.1,-1.9,83.0,4.0,23510
3,1,-6.9,754.1,763.4,-2.0,83.0,3.0,22694
4,1,-6.9,753.6,762.9,-1.8,83.0,3.0,22472
4,1,-7.0,753.1,762.4,-1.7,83.0,4.0,22286
4,1,-7.1,752.4,761.7,-1.7,83.0,3.0,22283
4,1,-7.2,751.9,761.2,-1.7,83.0,3.0,22378
4,1,-7.2,751.5,760.8,-1.6,84.0,3.0,23282
4,1,-7.3,751.1,760.4,-1.3,83.0,3.0,25142
4,1,-7.1,750.7,760.0,-1.2,83.0,4.0,27603
4,1,-7.2,750.3,759.6,-1.2,83.0,3.0,28348
4,1,-6.9,750.2,759.4,-0.9,81.0,3.0,28300
4,1,-7.0,750.2,759.4,-0.5,81.0,3.0,28245
4,1,-7.1,750.2,759.4,-0.1,81.0,2.0,28216
4,1,-7.2,749.8,759.1,-0.4,81.0,3.0,28161
4,1,-7.0,749.5,758.7,-0.7,81.0,2.0,28326
4,1,-7.0,749.0,758.2,-1.2,79.0,3.0,28153
4,1,-7.0,748.9,758.1,-0.9,77.0,3.0,28269
4,1,-7.1,748.8,758.0,-0.7,77.0,2.0,28869
4,1,-7.3,748.7,757.9,-0.3,77.0,2.0,28713
4,1,-7.4,748.9,758.2,0.0,75.0,3.0,28015
4,1,-7.7,749.1,758.4,0.3,76.0,4.0,27763
4,1,-7.8,749.0,758.3,0.3,74.0,4.0,27259
4,1,-7.7,749.2,758.5,0.3,73.0,2.0,26780
4,1,-7.7,749.2,758.5,0.1,69.0,6.0,25754
4,1,-8.3,749.2,758.5,0.2,74.0,4.0,24498
4,1,-8.3,749.4,758.7,0.2,73.0,4.0,23884
5,1,-8.3,749.2,758.5,0.0,74.0,4.0,23554
5,1,-8.3,749.1,758.4,-0.1,72.0,4.0,23482
5,1,-8.3,749.2,758.5,-0.2,71.0,4.0,23415
5,1,-8.1,749.2,758.5,0.0,72.0,4.0,23550
5,1,-8.2,749.1,758.4,0.0,71.0,3.0,24139
5,1,-8.0,749.0,758.3,-0.2,69.0,4.0,25869
5,1,-8.1,749.2,758.5,0.0,72.0,3.0,28307
5,1,-7.8,749.2,758.5,0.1,70.0,4.0,29118
5,1,-7.6,749.2,758.5,0.2,69.0,5.0,28803
5,1,-7.4,749.5,758.8,0.3,69.0,5.0,28602
5,1,-7.2,749.8,759.0,0.6,69.0,5.0,28602
5,1,-6.8,750.2,759.4,1.0,67.0,3.0,28445
5,1,-6.8,750.1,759.4,0.6,67.0,2.5,28487
5,1,-6.6,750.0,759.2,0.2,67.0,2.0,28425
5,1,-6.5,750.0,759.2,-0.2,69.0,3.0,28511
5,1,-6.7,749.9,759.1,-0.2,71.0,4.0,28966
5,1,-7.3,750.1,759.4,0.1,74.0,2.0,28855
5,1,-7.3,750.5,759.8,0.5,76.0,2.0,28425
5,1,-7.2,750.7,760.0,0.8,76.0,2.0,28071
5,1,-7.4,750.8,760.1,0.7,75.0,2.0,27608
5,1,-8.0,751.0,760.3,0.5,78.0,1.0,27226
5,1,-9.1,751.3,760.6,0.6,83.0,2.0,26694
5,1,-8.3,751.4,760.7,0.6,80.0,2.0,25560
5,1,-8.4,751.4,760.7,0.4,78.0,3.0,24497
6,1,-9.0,751.3,760.7,0.0,80.0,2.0,24080
6,1,-9.9,751.6,761.0,0.2,85.0,2.0,23941
6,1,-10.0,751.8,761.2,0.4,82.0,3.0,23947
6,1,-11.0,752.1,761.5,0.8,82.0,3.0,24192
6,1,-11.3,752.2,761.6,0.6,82.0,3.0,24775
6,1,-11.6,752.0,761.5,0.2,85.0,3.0,26573
6,1,-11.4,752.0,761.5,-0.1,83.0,3.0,29044
6,1,-11.9,752.3,761.8,0.1,85.0,1.0,29847
6,1,-11.8,752.4,761.8,0.4,83.0,3.0,29788
6,1,-12.0,752.6,762.1,0.6,86.0,3.0,29616
6,1,-11.3,752.9,762.4,0.6,83.0,4.0,29286
6,1,-10.6,753.0,762.4,0.6,82.0,2.0,29301
6,1,-10.1,753.1,762.4,0.5,83.0,2.0,29134
6,1,-10.0,752.9,762.3,0.0,80.0,3.0,29161
6,1,-10.2,752.9,762.3,-0.1,78.0,3.0,29199
6,1,-10.5,752.8,762.2,-0.3,80.0,3.0,29649
6,1,-11.2,752.8,762.3,-0.1,79.0,3.0,29680
6,1,-11.8,752.8,762.3,-0.1,83.0,3.0,29086
6,1,-11.9,752.9,762.4,0.1,83.0,3.0,28897
6,1,-12.4,752.8,762.3,0.0,84.0,2.0,28653
6,1,-12.5,752.8,762.2,0.0,84.0,3.0,28216
6,1,-12.8,752.8,762.4,-0.1,81.0,3.0,27401
6,1,-13.0,752.6,762.1,-0.2,82.0,3.0,26286
6,1,-12.7,752.8,762.3,0.0,83.0,2.0,25366
0,1,-12.8,752.8,762.4,0.0,83.0,2.0,24885
0,1,-12.8,752.8,762.3,0.2,83.0,3.0,24522
0,1,-12.1,752.6,762.1,-0.2,82.0,3.0,24446
0,1,-12.0,752.4,761.8,-0.4,83.0,3.0,24768
0,1,-12.1,752.2,761.7,-0.6,81.0,2.0,25508
0,1,-12.3,752.2,761.6,-0.4,80.0,3.0,27299
0,1,-12.4,752.0,761.5,-0.4,79.0,3.0,29486
0,1,-12.6,751.8,761.2,-0.4,80.0,3.0,30162
0,1,-13.0,751.8,761.2,-0.4,80.0,3.0,30063
0,1,-12.9,751.7,761.2,-0.3,80.0,3.0,30132
0,1,-12.8,751.7,761.2,-0.1,79.0,3.0,29969
0,1,-12.7,751.6,761.1,-0.2,79.0,3.0,29774
0,1,-12.2,751.2,760.6,-0.5,79.0,4.0,29717
0,1,-11.6,750.6,760.0,-1.1,77.0,4.0,29800
0,1,-12.0,750.2,759.7,-1.4,77.0,4.0,29913
0,1,-12.5,749.9,759.4,-1.3,79.0,5.0,30161
0,1,-12.3,749.5,758.9,-1.1,79.0,5.0,30068
0,1,-12.0,749.2,758.7,-1.0,79.0,4.0,29575
0,1,-11.8,748.8,758.2,-1.1,82.0,4.0,29263
0,1,-11.3,748.4,757.8,-1.1,81.0,3.0,28837
