Local time,T,Po,P,Pa,U,Ff
2016-01-01 00:00:00,1.1,755.6,764.7,0.7,94.0,3.0
2016-01-01 01:00:00,1.1,755.8,764.8,0.7,95.0,3.0
2016-01-01 02:00:00,1.1,756.0,765.1,0.5,95.0,3.0
2016-01-01 03:00:00,0.9,756.1,765.2,0.5,96.0,3.0
2016-01-01 04:00:00,1.2,756.4,765.5,0.6,96.0,3.0
2016-01-01 05:00:00,1.1,756.6,765.7,0.6,96.0,3.0
2016-01-01 06:00:00,1.1,756.7,765.7,0.6,96.0,3.0
2016-01-01 07:00:00,1.3,756.8,765.9,0.4,96.0,3.0
2016-01-01 08:00:00,1.5,757.2,766.3,0.6,95.0,2.0
2016-01-01 09:00:00,1.6,757.6,766.6,0.9,96.0,3.0
2016-01-01 10:00:00,1.7,757.9,767.0,1.1,96.0,2.0
2016-01-01 11:00:00,1.6,758.3,767.4,1.1,97.0,3.0
2016-01-01 12:00:00,2.0,758.6,767.7,1.0,96.0,3.0
2016-01-01 13:00:00,2.2,758.8,767.9,0.9,96.0,2.0
2016-01-01 14:00:00,2.0,759.1,768.2,0.8,96.0,3.0
2016-01-01 15:00:00,2.4,759.4,768.5,0.8,93.0,3.0
2016-01-01 16:00:00,2.3,759.7,768.7,0.9,94.0,3.0
2016-01-01 17:00:00,2.3,760.3,769.3,1.2,93.0,3.0
2016-01-01 18:00:00,2.3,760.6,769.6,1.2,91.0,3.0
2016-01-01 19:00:00,2.2,761.2,770.2,1.5,92.0,3.0
2016-01-01 20:00:00,1.7,761.5,770.5,1.2,94.0,3.0
2016-01-01 21:00:00,1.4,761.8,770.9,1.2,94.0,3.0
2016-01-01 22:00:00,1.1,762.4,771.6,1.2,95.0,3.0
2016-01-01 23:00:00,1.6,762.9,772.0,1.4,94.0,3.0
2016-02-01 00:00:00,1.5,763.4,772.6,1.6,94.0,3.0
2016-02-01 01:00:00,1.4,763.6,772.7,1.2,92.0,3.0
2016-02-01 02:00:00,1.3,764.0,773.2,1.1,90.0,4.0
2016-02-01 03:00:00,1.1,764.4,773.5,1.0,91.0,3.0
2016-02-01 04:00:00,1.0,764.8,773.9,1.2,89.0,4.0
2016-02-01 05:00:00,1.1,765.0,774.1,1.0,86.0,3.0
2016-02-01 06:00:00,1.0,765.1,774.3,0.7,82.0,3.0
2016-02-01 07:00:00,0.5,765.3,774.4,0.5,82.0,4.0
2016-02-01 08:00:00,-0.9,765.9,775.1,0.9,88.0,6.0
2016-02-01 09:00:00,-1.6,766.5,775.8,1.4,82.0,6.0
2016-02-01 10:00:00,-2.0,767.0,776.3,1.7,81.0,5.0
2016-02-01 11:00:00,-2.6,767.3,776.6,1.4,83.0,5.0
2016-02-01 12:00:00,-2.8,767.6,776.9,1.1,78.0,4.0
2016-02-01 13:00:00,-2.8,767.5,776.8,0.5,75.0,5.0
2016-02-01 14:00:00,-3.0,767.8,777.1,0.5,73.0,4.0
2016-02-01 15:00:00,-3.4,768.0,777.4,0.4,76.0,4.0
2016-02-01 16:00:00,-3.4,767.9,777.3,0.4,78.0,3.0
2016-02-01 17:00:00,-3.5,767.9,777.3,0.1,78.0,4.0
2016-02-01 18:00:00,-3.7,767.8,777.2,-0.2,77.0,5.0
2016-02-01 19:00:00,-4.1,767.9,777.3,0.0,77.0,4.0
2016-02-01 20:00:00,-4.5,767.8,777.2,-0.1,79.0,4.0
2016-02-01 21:00:00,-4.8,767.8,777.1,0.0,80.0,5.0
2016-02-01 22:00:00,-5.0,767.8,777.2,-0.1,75.0,5.0
2016-02-01 23:00:00,-5.3,767.8,777.2,0.0,78.0,4.0
2016-03-01 00:00:00,-5.4,767.7,777.1,-0.1,78.0,4.0
2016-03-01 01:00:00,-5.5,767.3,776.8,-0.5,80.0,4.0
2016-03-01 02:00:00,-5.6,767.2,776.6,-0.6,82.0,4.0
2016-03-01 03:00:00,-5.6,766.6,775.9,-1.1,82.0,4.0
2016-03-01 04:00:00,-5.7,766.0,775.4,-1.3,81.0,4.0
2016-03-01 05:00:00,-5.7,765.5,774.9,-1.7,82.0,4.0
2016-03-01 06:00:00,-5.7,764.9,774.3,-1.7,82.0,5.0
2016-03-01 07:00:00,-5.7,764.5,773.9,-1.5,82.0,4.0
2016-03-01 08:00:00,-5.8,764.1,773.5,-1.4,82.0,4.0
2016-03-01 09:00:00,-5.8,763.5,772.9,-1.4,82.0,3.0
2016-03-01 10:00:00,-5.7,763.2,772.6,-1.3,82.0,4.0
2016-03-01 11:00:00,-5.7,762.4,771.7,-1.7,82.0,4.0
2016-03-01 12:00:00,-5.5,761.5,770.9,-2.0,82.0,3.0
2016-03-01 13:00:00,-5.5,760.9,770.2,-2.3,82.0,3.0
2016-03-01 14:00:00,-5.5,760.1,769.4,-2.3,80.0,3.0
2016-03-01 15:00:00,-5.7,759.3,768.6,-2.2,82.0,3.0
2016-03-01 16:00:00,-6.0,758.5,767.8,-2.4,81.0,3.0
2016-03-01 17:00:00,-6.1,757.9,767.2,-2.2,81.0,2.0
2016-03-01 18:00:00,-6.2,757.2,766.5,-2.1,81.0,3.0
2016-03-01 19:00:00,-6.3,756.7,766.0,-1.8,81.0,2.0
2016-03-01 20:00:00,-6.4,756.1,765.4,-1.8,80.0,4.0
2016-03-01 21:00:00,-6.5,755.4,764.7,-1.8,81.0,3.0
2016-03-01 22:00:00,-6.9,754.8,764.1,-1.9,83.0,4.0
2016-03-01 23:00:00,-6.9,754.1,763.4,-2.0,83.0,3.0
2016-04-01 00:00:00,-6.9,753.6,762.9,-1.8,83.0,3.0
2016-04-01 01:00:00,-7.0,753.1,762.4,-1.7,83.0,4.0
2016-04-01 02:00:00,-7.1,752.4,761.7,-1.7,83.0,3.0
2016-04-01 03:00:00,-7.2,751.9,761.2,-1.7,83.0,3.0
2016-04-01 04:00:00,-7.2,751.5,760.8,-1.6,84.0,3.0
2016-04-01 05:00:00,-7.3,751.1,760.4,-1.3,83.0,3.0
2016-04-01 06:00:00,-7.1,750.7,760.0,-1.2,83.0,4.0
2016-04-01 07:00:00,-7.2,750.3,759.6,-1.2,83.0,3.0
2016-04-01 08:00:00,-6.9,750.2,759.4,-0.9,81.0,3.0
2016-04-01 09:00:00,-7.0,750.2,759.4,-0.5,81.0,3.0
2016-04-01 10:00:00,-7.1,750.2,759.4,-0.1,81.0,2.0
2016-04-01 11:00:00,-7.2,749.8,759.1,-0.4,81.0,3.0
2016-04-01 12:00:00,-7.0,749.5,758.7,-0.7,81.0,2.0
2016-04-01 13:00:00,-7.0,749.0,758.2,-1.2,79.0,3.0
2016-04-01 14:00:00,-7.0,748.9,758.1,-0.9,77.0,3.0
2016-04-01 15:00:00,-7.1,748.8,758.0,-0.7,77.0,2.0
2016-04-01 16:00:00,-7.3,748.7,757.9,-0.3,77.0,2.0
2016-04-01 17:00:00,-7.4,748.9,758.2,0.0,75.0,3.0
2016-04-01 18:00:00,-7.7,749.1,758.4,0.3,76.0,4.0
2016-04-01 19:00:00,-7.8,749.0,758.3,0.3,74.0,4.0
2016-04-01 20:00:00,-7.7,749.2,758.5,0.3,73.0,2.0
2016-04-01 21:00:00,-7.7,749.2,758.5,0.1,69.0,6.0
2016-04-01 22:00:00,-8.3,749.2,758.5,0.2,74.0,4.0
2016-04-01 23:00:00,-8.3,749.4,758.7,0.2,73.0,4.0
2016-05-01 00:00:00,-8.3,749.2,758.5,0.0,74.0,4.0
2016-05-01 01:00:00,-8.3,749.1,758.4,-0.1,72.0,4.0
2016-05-01 02:00:00,-8.3,749.2,758.5,-0.2,71.0,4.0
2016-05-01 03:00:00,-8.1,749.2,758.5,0.0,72.0,4.0
2016-05-01 04:00:00,-8.2,749.1,758.4,0.0,71.0,3.0
2016-05-01 05:00:00,-8.0,749.0,758.3,-0.2,69.0,4.0
2016-05-01 06:00:00,-8.1,749.2,758.5,0.0,72.0,3.0
2016-05-01 07:00:00,-7.8,749.2,758.5,0.1,70.0,4.0
2016-05-01 08:00:00,-7.6,749.2,758.5,0.2,69.0,5.0
2016-05-01 09:00:00,-7.4,749.5,758.8,0.3,69.0,5.0
2016-05-01 10:00:00,-7.2,749.8,759.0,0.6,69.0,5.0
2016-05-01 11:00:00,-6.8,750.2,759.4,1.0,67.0,3.0
2016-05-01 12:00:00,-6.8,750.1,759.4,0.6,67.0,2.5
2016-05-01 13:00:00,-6.6,750.0,759.2,0.2,67.0,2.0
2016-05-01 14:00:00,-6.5,750.0,759.2,-0.2,69.0,3.0
